sample,id,Period,Year,x,y,GeneticGroup,SpawnTime,Stock
AF29,norwegian_30,mh,2013,4.658203,61.185625,Norwegian,Spring,Norwegian Spring-Spawner
AF30,norwegian_31,mh,2013,4.658203,61.185625,Baltic,Spring,Baltic Spring-Spawner
AF31,norwegian_32,mh,2013,4.658203,61.185625,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
AF8,norwegian_33,mh,2013,4.658203,61.185625,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
AK1,downs_1,mh,2016,2.5,51.56666666666670,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
AK2,downs_2,mh,2016,2.5,51.56666666666670,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
AK3,downs_3,mh,2016,2.5,51.56666666666670,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
AM27,norwegian_34,mh,1980,10.25,64.866667,Norwegian,Spring,Norwegian Spring-Spawner
AM29,norwegian_35,mh,1980,10.25,64.866667,Norwegian,Spring,Norwegian Spring-Spawner
AM33,norwegian_36,mh,1980,10.25,64.866667,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
AM8,norwegian_37,mh,1980,10.25,64.866667,Norwegian,Spring,Norwegian Spring-Spawner
BF16,hastkar_1,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
BF18,hastkar_2,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
BF19,hastkar_3,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
BF21,hastkar_4,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
BM14,hastkar_5,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
BM15,hastkar_6,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
BM16,hastkar_7,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
BM19,hastkar_8,mh,2013,17.739702,60.532414,Baltic,Spring,Baltic Spring-Spawner
Fehmarn3,fehmarn_4,mh,1979,11.5,54.833333333333300,Baltic,Autumn,Baltic Autumn-Spawner
Fehmarn44,fehmarn_5,mh,1979,11.5,54.833333333333300,Baltic,Autumn,Baltic Autumn-Spawner
Fehmarn6,fehmarn_6,mh,1979,11.5,54.833333333333300,Skagerrak & Kattegat,Autumn,Baltic Autumn-Spawner
Gavle100,gavle_4,mh,2012,17.58333,60.73333,Baltic,Autumn,Baltic Autumn-Spawner
Gavle54,gavle_5,mh,2012,17.58333,60.73333,Skagerrak & Kattegat,Autumn,Baltic Autumn-Spawner
Gavle98,gavle_6,mh,2012,17.58333,60.73333,Baltic,Autumn,Baltic Autumn-Spawner
HER065,netherlands_7,ah,1400,3.66354,51.54794,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
HER067,netherlands_8,ah,1400,3.66354,51.54794,North Sea,Autumn,North Sea Autumn-Spawner
HER102,york_1,ah,1100,-1.07391,53.96142,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
HER104,york_2,ah,1100,-1.07391,53.96142,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
HER106,york_4,ah,955,-1.07391,53.96142,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
HER109,york_5,ah,955,-1.07391,53.96142,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
HER124,york_8,ah,1300,-1.07391,53.96142,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
HER127,york_9,ah,1300,-1.07391,53.96142,North Sea,Autumn,North Sea Autumn-Spawner
HER132,lyminge_3,ah,800,1.08968,51.12899,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
HER133,lyminge_4,ah,800,1.08968,51.12899,Britain & Ireland,Spring,Ireland & Britain Spring-Spawner
HER134,lyminge_5,ah,800,1.08968,51.12899,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
MHER001,karmoy_1,mh,2002,5.20294,59.30354,Norwegian,Spring,Norwegian Spring-Spawner
MHER002,karmoy_2,mh,2002,5.20294,59.30354,Norwegian,Spring,Norwegian Spring-Spawner
MHER003,karmoy_3,mh,2002,5.20294,59.30354,Norwegian,Spring,Norwegian Spring-Spawner
MHER005,more_1,mh,2002,7.00714,62.84068,Norwegian,Spring,Norwegian Spring-Spawner
MHER006,more_2,mh,2002,7.00714,62.84068,Norwegian,Spring,Norwegian Spring-Spawner
MHER007,more_3,mh,2002,7.00714,62.84068,Norwegian,Spring,Norwegian Spring-Spawner
MHER008,more_4,mh,2002,7.00714,62.84068,Norwegian,Spring,Norwegian Spring-Spawner
MHER009,risor_1,mh,2003,9.23274,58.7203,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER010,risor_2,mh,2003,9.23274,58.7203,Norwegian,Spring,Norwegian Spring-Spawner
MHER011,risor_3,mh,2003,9.23274,58.7203,Norwegian,Spring,Norwegian Spring-Spawner
MHER012,risor_4,mh,2003,9.23274,58.7203,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER013,maseskar_1,mh,2003,11.32181,58.09425,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER014,maseskar_2,mh,2003,11.32181,58.09425,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER015,maseskar_3,mh,2003,11.32181,58.09425,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER016,kalix_1,mh,2002,23.30565,65.76593,Baltic,Spring,Baltic Spring-Spawner
MHER017,kalix_2,mh,2002,23.30565,65.76593,Baltic,Spring,Baltic Spring-Spawner
MHER018,kalix_3,mh,2002,23.30565,65.76593,Baltic,Spring,Baltic Spring-Spawner
MHER019,kalmarsund_1,mh,2010,16.33068,56.59106,Baltic,Spring,Baltic Spring-Spawner
MHER020,kalmarsund_2,mh,2010,16.33068,56.59106,Baltic,Spring,Baltic Spring-Spawner
MHER021,kalmarsund_3,mh,2010,16.33068,56.59106,Baltic,Spring,Baltic Spring-Spawner
MHER022,idefjord_1,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER023,idefjord_2,mh,2010,11.38076,59.07217,Baltic,Spring,Baltic Spring-Spawner
MHER024,idefjord_3,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER025,blekinge_1,mh,2010,15.33585,56.11257,Baltic,Spring,Baltic Spring-Spawner
MHER026,blekinge_2,mh,2010,15.33585,56.11257,Baltic,Spring,Baltic Spring-Spawner
MHER027,blekinge_3,mh,2010,15.33585,56.11257,Baltic,Spring,Baltic Spring-Spawner
MHER028,idefjord_4,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER029,idefjord_5,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER030,idefjord_6,mh,2010,11.38076,59.07217,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER034,maseskar_4,mh,2003,11.32181,58.09425,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
MHER035,maseskar_5,mh,2003,11.32181,58.09425,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
