sample,id,Region,Spawn,old_id,Period,Year,Inversion,PC1,PC2
MHER035,maseskar_5,Skagerrak & Kattegat,spring,MHER035,Present-day,2003,South,0.0680091153999245,-0.0554117679129345
MHER036,maseskar_6,Skagerrak & Kattegat,spring,MHER036,Present-day,2003,Het,0.0122640318036203,-0.0504899727649602
MHER037,maseskar_7,Skagerrak & Kattegat,spring,MHER037,Present-day,2003,South,0.0712157279627806,-0.0524818507694169
MHER038,risor_5,Skagerrak & Kattegat,spring,MHER038,Present-day,2003,Het,0.0118523836582357,-0.0474874490253695
MHER039,risor_6,Skagerrak & Kattegat,spring,MHER039,Present-day,2003,South,0.0725109842085993,-0.0544657203539618
MHER044,idefjord_7,Skagerrak & Kattegat,spring,MHER044,Present-day,2010,South,0.0776326231572822,-0.0583335592470273
MHER045,idefjord_8,Skagerrak & Kattegat,spring,MHER045,Present-day,2010,South,0.0766011355007564,-0.0561231561038553
MHER046,idefjord_9,Skagerrak & Kattegat,spring,MHER046,Present-day,2010,Het,0.0107597001922391,-0.0484923704752638
MHER052,kalmarsund_4,Baltic,spring,MHER052,Present-day,2010,Het,0.0107400873818194,-0.0466170894781613
MHER053,karmoy_4,Norway,spring,MHER053,Present-day,2002,North,-0.0538383864013593,-0.03891274814771
MHER054,kalix_4,Bothnia,spring,MHER054,Present-day,2002,North,-0.0494397496550121,-0.0394388860203773
MHER055,kalix_5,Bothnia,spring,MHER055,Present-day,2002,North,-0.0443605301796822,-0.0389151920376041
MHER056,kalix_6,Bothnia,spring,MHER056,Present-day,2002,North,-0.0487173416099356,-0.0357982295116565
MHER057,blekinge_4,Baltic,spring,MHER057,Present-day,2010,North,-0.0529794285352593,-0.0365642138292243
MHER058,blekinge_5,Baltic,spring,MHER058,Present-day,2010,North,-0.0519387641990527,-0.0403462115319355
MHER059,blekinge_6,Baltic,spring,MHER059,Present-day,2010,North,-0.0496799936058501,-0.0324927654814085
MHER061,idefjord_10,Skagerrak & Kattegat,spring,MHER061,Present-day,2010,South,0.0776974164192003,-0.0561624846127301
MHER062,idefjord_11,Skagerrak & Kattegat,spring,MHER062,Present-day,2010,South,0.0775418328214054,-0.0549442730121173
MHER063,idefjord_12,Skagerrak & Kattegat,spring,MHER063,Present-day,2010,Het,0.0133126004154143,-0.041613712128107
MHER064,idefjord_13,Skagerrak & Kattegat,spring,MHER064,Present-day,2010,South,0.0783732860896795,-0.0503518530403304
MHER065,risor_7,Skagerrak & Kattegat,spring,MHER065,Present-day,2003,South,0.0722614059135379,-0.0537139015626823
MHER066,risor_8,Skagerrak & Kattegat,spring,MHER066,Present-day,2003,South,0.0747168949670123,-0.0550977898829996
ND001,gullholmen_1,Skagerrak & Kattegat,NA,ND001,1747–1805 Sillperiod,1750,Het,0.0315588194779493,0.0671087393453731
ND006,gullholmen_2,Skagerrak & Kattegat,NA,ND006,1747–1805 Sillperiod,1750,South,0.0849885092878157,0.0223730594440996
ND009,gullholmen_3,Skagerrak & Kattegat,NA,ND009,1747–1805 Sillperiod,1750,Het,0.0421148245117896,0.0454316686285646
ND010,gullholmen_4,Skagerrak & Kattegat,NA,ND010,1747–1805 Sillperiod,1750,South,0.0798252513286701,0.0217807100193888
ND011,gullholmen_5,Skagerrak & Kattegat,NA,ND011,1747–1805 Sillperiod,1750,South,0.0730384546218415,0.0403426960494617
ND021,kalvsund_1,Skagerrak & Kattegat,NA,ND021,1877–1906 Sillperiod,1880,South,0.0855368051492807,0.0302990954619048
ND022,koster_1,Skagerrak & Kattegat,NA,ND022,1877–1906 Sillperiod,1881,South,0.0863067949942837,0.0333585040042704
ND023,koster_2,Skagerrak & Kattegat,NA,ND023,1877–1906 Sillperiod,1897,Het,0.0335001785483525,0.0719251059682392
ND024,koster_3,Skagerrak & Kattegat,NA,ND024,1877–1906 Sillperiod,1897,North,-0.0359032677635291,0.111028975833819
ND026,koster_4,Skagerrak & Kattegat,NA,ND026,1877–1906 Sillperiod,1898,North,-0.0352731450209283,0.116258737558946
ND028,scotland_1,Britain & Ireland,NA,ND028,1877–1906 Sillperiod,1900,Het,0.0352054284256811,0.0683554109412302
ND029,scotland_2,Britain & Ireland,NA,ND029,1877–1906 Sillperiod,1900,Het,0.0286714625149126,0.0719506947232266
ND030,haugesund_1,Norway,NA,ND030,1877–1906 Sillperiod,1900,North,-0.0349461680518921,0.110783818743278
ND031,haugesund_2,Norway,NA,ND031,1877–1906 Sillperiod,1900,North,-0.0369223515162635,0.114964576066939
ND034,kalvsund_2,Skagerrak & Kattegat,NA,ND034,1877–1906 Sillperiod,1880,Het,0.0359695254907579,0.0730870084300038
ND036,kalvsund_3,Skagerrak & Kattegat,NA,ND036,1877–1906 Sillperiod,1881,North,-0.0369633697417295,0.119456161704964
ND038,scotland_3,Britain & Ireland,NA,ND038,1877–1906 Sillperiod,1900,South,0.0839955319552464,0.028118574968361
ND039,scotland_4,Britain & Ireland,NA,ND039,1877–1906 Sillperiod,1900,Het,0.0307689250004098,0.0737967933125926
ND040,haugesund_3,Norway,NA,ND040,1877–1906 Sillperiod,1900,South,0.0762957362264105,0.0309994576035429
ND142,scotland_5,Britain & Ireland,NA,ND142,Between Sillperiods,1848,South,0.0875031011570295,0.0299409792290316
ND157,scotland_6,Britain & Ireland,NA,ND157,1877–1906 Sillperiod,1890,Het,0.0219272448424464,0.0925028478444228
ND158,scotland_7,Britain & Ireland,NA,ND158,1877–1906 Sillperiod,1890,South,0.0864474828264115,0.0396640701846743
ND161,rovaer_1,Norway,NA,ND161,1877–1906 Sillperiod,1881,North,-0.0346093201355483,0.116549551586762
ND163,bergen_1,Norway,NA,ND163,Between Sillperiods,NA,North,-0.0311326279963541,0.107444207780955
ND164,bergen_2,Norway,NA,ND164,Between Sillperiods,NA,North,-0.0320934684273099,0.117704703008413
ND165,bergen_3,Norway,NA,ND165,Between Sillperiods,NA,North,-0.0299605865914254,0.128829735794249
ND166,bergen_4,Norway,NA,ND166,Between Sillperiods,NA,North,-0.027602474654092,0.121026610278701
ND167,bergen_5,Norway,NA,ND167,Between Sillperiods,NA,North,-0.0313040939801586,0.11908271034605
ND168,unknown_1,Norway,NA,ND168,Between Sillperiods,NA,North,-0.0330726309131529,0.119194088076243
ND169,unknown_2,Norway,NA,ND169,Between Sillperiods,1870,North,-0.0306542076757846,0.134336005089083
ND170,unknown_3,Norway,NA,ND170,Between Sillperiods,1870,North,-0.0322450871998058,0.121429520059701
ND171,unknown_4,Norway,NA,ND171,Between Sillperiods,1870,North,-0.031322555657812,0.123894090174823
ND178,stavanger_1,Norway,NA,ND178,1877–1906 Sillperiod,1880,Het,0.0293958455591361,0.0750017350244049
ND180,stavanger_2,Norway,NA,ND180,1877–1906 Sillperiod,1880,Het,0.0291848819693034,0.0816475595378833
ND182,stavanger_3,Norway,NA,ND182,1877–1906 Sillperiod,1880,Het,0.0386793240600464,0.0723720901907334
ND183,stavanger_4,Norway,NA,ND183,1877–1906 Sillperiod,1880,Het,0.0291348023760985,0.0853343639077942
ND184,stavanger_5,Norway,NA,ND184,1877–1906 Sillperiod,1880,North,-0.0265635944827995,0.119140585454866
ND187,stavanger_6,Norway,NA,ND187,1877–1906 Sillperiod,1880,South,0.08562912419424,0.0293598852665005
ND188,stavanger_7,Norway,NA,ND188,1877–1906 Sillperiod,1880,North,-0.0347104647529354,0.118834283546781
ND195,dynekilen_1,Skagerrak & Kattegat,NA,ND195,Between Sillperiods,1874,South,0.0711833021570749,0.0752899752102967
ND196,dynekilen_2,Skagerrak & Kattegat,NA,ND196,Between Sillperiods,1874,South,0.0722814540651362,0.0703343629640092
ND197,dynekilen_3,Skagerrak & Kattegat,NA,ND197,Between Sillperiods,1874,South,0.0727472268870754,0.0709775483170927
ND198,dynekilen_4,Skagerrak & Kattegat,NA,ND198,Between Sillperiods,1874,South,0.0719188568399303,0.0728833679537805
ND199,dynekilen_5,Skagerrak & Kattegat,NA,ND199,Between Sillperiods,1874,South,0.0733840006610603,0.067497070453686
ND200,dynekilen_6,Skagerrak & Kattegat,NA,ND200,Between Sillperiods,1874,South,0.0723580565143522,0.0687673748952982
ND201,dynekilen_7,Skagerrak & Kattegat,NA,ND201,Between Sillperiods,1874,South,0.0732351813296221,0.0676790847378263
ND202,dynekilen_8,Skagerrak & Kattegat,NA,ND202,Between Sillperiods,1874,South,0.0724739807964156,0.0681512397498884
ND203,dynekilen_9,Skagerrak & Kattegat,NA,ND203,Between Sillperiods,1874,South,0.0732093721642905,0.0682352371055029
ND204,dynekilen_10,Skagerrak & Kattegat,NA,ND204,Between Sillperiods,1874,South,0.0723859316288487,0.0683889708998446
ND205,dynekilen_11,Skagerrak & Kattegat,NA,ND205,Between Sillperiods,1874,South,0.0716763217840465,0.0689720264935961
