id,x,y,spawn
201550562,64.51262,-1.84517,spring
201550563,64.51262,-1.84517,spring
201550564,64.51262,-1.84517,spring
201550565,64.51262,-1.84517,spring
201550566,64.51262,-1.84517,spring
201550567,64.51262,-1.84517,spring
201550568,64.51262,-1.84517,spring
201550569,64.51262,-1.84517,spring
PH6,49.35685,-123.87275,spring
PH5,49.35685,-123.87275,spring
PH4,49.35685,-123.87275,spring
PH3,49.35685,-123.87275,spring
PH2,49.35685,-123.87275,spring
PH1,49.35685,-123.87275,spring
NS3,58.1,6.166666666666667,autumn
NS2,58.1,6.166666666666667,autumn
NS1,58.1,6.166666666666667,autumn
BAH3,60.733333333333334,-60.733333333333334,autumn
BAH2,60.733333333333334,-60.733333333333334,autumn
BAH1,60.733333333333334,-60.733333333333334,autumn
BF3,54.833333333333336,11.5,autumn
BF2,54.833333333333336,11.5,autumn
BF1,54.833333333333336,11.5,autumn
NsSB,46.31666666666667,-64.15,spring
NsSA,46.31666666666667,-64.15,spring
NsFB,45.733333333333334,-62.6,autumn
NsFA,45.733333333333334,-62.6,autumn
InBB,48.0,-65.85,spring
InBA,48.0,-65.85,spring
GeBB,43.266666666666666,-66.3,autumn
GeBA,43.266666666666666,-66.3,autumn
FBB,47.28333333333333,-55.63333333333333,spring
FBA,47.28333333333333,-55.63333333333333,spring
BoBB,48.81666666666667,-53.333333333333336,autumn
BoBA,48.81666666666667,-53.333333333333336,autumn
MB1,60.583333333333336,5.0,
MB2,60.583333333333336,17.8,
MB3,60.583333333333336,17.8,
MB4,60.583333333333336,17.8,
MB5,60.583333333333336,17.8,
MB6,60.583333333333336,17.8,
MB7,60.583333333333336,17.8,
MB8,60.583333333333336,17.8,
