samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
AM33_4_PRJNA642736 AM33.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138794_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138794_2.fastq
AM33_3_PRJNA642736 AM33.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138795_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138795_2.fastq
AM33_2_PRJNA642736 AM33.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138796_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138796_2.fastq
AM33_1_PRJNA642736 AM33.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138797_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138797_2.fastq
AF29_4_PRJNA642736 AF29.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138798_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138798_2.fastq
AM29_5_PRJNA642736 AM29.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138799_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138799_2.fastq
AM29_4_PRJNA642736 AM29.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138800_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138800_2.fastq
AM29_3_PRJNA642736 AM29.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138801_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138801_2.fastq
AM29_2_PRJNA642736 AM29.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138802_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138802_2.fastq
AM29_1_PRJNA642736 AM29.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138803_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138803_2.fastq
AM27_5_PRJNA642736 AM27.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138804_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138804_2.fastq
AM27_4_PRJNA642736 AM27.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138805_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138805_2.fastq
AF8_1_PRJNA642736 AF8.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138808_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138808_2.fastq
AF31_5_PRJNA642736 AF31.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138819_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138819_2.fastq
AF31_4_PRJNA642736 AF31.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138830_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138830_2.fastq
AF31_1_PRJNA642736 AF31.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138835_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138835_2.fastq
AF29_2_PRJNA642736 AF29.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138836_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138836_2.fastq
AF29_1_PRJNA642736 AF29.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138837_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138837_2.fastq
Fehmarn44_1_PRJNA642736 Fehmarn44.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106920_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106920_2.fastq
Fehmarn6_1_PRJNA642736 Fehmarn6.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106922_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106922_2.fastq
Fehmarn3_1_PRJNA642736 Fehmarn3.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106923_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106923_2.fastq
Gavle100_1_PRJNA642736 Gavle100.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106924_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106924_2.fastq
Gavle98_1_PRJNA642736 Gavle98.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106925_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106925_2.fastq
Gavle54_1_PRJNA642736 Gavle54.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106926_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106926_2.fastq
AAL3_2_PRJNA642736 AAL3.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106927_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106927_2.fastq
AAL3_1_PRJNA642736 AAL3.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106928_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106928_2.fastq
AAL2_2_PRJNA642736 AAL2.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106929_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106929_2.fastq
AAL2_1_PRJNA642736 AAL2.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106930_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106930_2.fastq
AAL1_2_PRJNA642736 AAL1.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106931_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106931_2.fastq
AAL1_1_PRJNA642736 AAL1.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106933_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106933_2.fastq
AK3_2_PRJNA642736 AK3.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106934_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106934_2.fastq
AK3_1_PRJNA642736 AK3.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106935_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106935_2.fastq
AK2_2_PRJNA642736 AK2.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106936_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106936_2.fastq
AK2_1_PRJNA642736 AK2.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106937_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106937_2.fastq
AK1_2_PRJNA642736 AK1.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106938_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106938_2.fastq
AK1_1_PRJNA642736 AK1.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106939_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106939_2.fastq
Z14_2_PRJNA642736 Z14.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106940_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106940_2.fastq
Z14_1_PRJNA642736 Z14.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106941_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106941_2.fastq
Z12_2_PRJNA642736 Z12.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106942_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106942_2.fastq
Z12_1_PRJNA642736 Z12.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106944_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106944_2.fastq
Z4_2_PRJNA642736 Z4.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106945_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106945_2.fastq
Z4_1_PRJNA642736 Z4.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106946_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106946_2.fastq
NorthSea34_1_PRJNA642736 NorthSea34.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106947_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106947_2.fastq
NorthSea19_1_PRJNA642736 NorthSea19.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106948_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106948_2.fastq
NorthSea13_1_PRJNA642736 NorthSea13.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106949_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106949_2.fastq
NSSH36_2_PRJNA642736 NSSH36.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106950_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106950_2.fastq
NSSH36_1_PRJNA642736 NSSH36.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106951_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106951_2.fastq
NSSH34_2_PRJNA642736 NSSH34.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106952_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR12106952_2.fastq
